,EarningsYield,GrossProfitability,AssetGrowth,Accruals,Momentum12_1,NetDebtEBITDA,SUE,AnalystRevision,AnalystDispersion,RevisionBreadth,Beta,IVOL,ShortInterestRatio,InstOwnershipChg
2018-09-28,0.20046517182005066,-0.1795525218635142,-0.20409820636382203,0.07340387694543934,-0.2574089939708443,0.1954013371699631,-0.04694637806071492,-0.08892606804008373,-0.09356393675388563,-0.062262897739022396,-0.5186028410046684,-0.2797310251936002,,
2018-10-31,-0.012759167021651646,0.05092859394401808,0.06415670336598193,0.07623077970214436,-0.10838803552741545,-0.0032426383548299948,0.05062888556197594,-0.07219836386339902,-0.2054825413282156,-0.03765611544573844,-0.07084922570156359,-0.1345007549144498,0.08577060021004111,
2018-11-30,-0.16785958211270982,0.06386017296358074,0.01908544872565947,-0.13520366943866052,0.1298838184435249,0.03935865972998999,-0.02537327634132661,0.02669433260366347,0.0067674699403509975,0.02814540394316321,-0.19596989762573389,-0.09483937166420202,0.01943695979697421,
2018-12-31,0.02468325263982903,-0.00421911897350811,0.130166221585903,-0.03525724628485248,-0.20470841191788622,-0.01667638576683403,0.00574304010392396,-0.09756362649568388,0.14258578803955446,-0.08621570869930535,0.4047134427393864,0.27181261533150197,-0.0076819134940745715,-0.1629943054867696
2019-01-31,-0.188252710734731,0.11880299812854726,0.03152501700815497,-0.10430616337498488,0.1422793519679697,-0.14699546874029681,-0.06902831098485056,-0.008048084446875438,-0.14630494125175433,0.04431317151513613,0.18506605820987887,0.01353865580626061,0.13642384514574502,-0.06714660321144386
2019-02-28,-0.13774162247415028,0.2344414246315879,0.15471615664662564,-0.041923623566133716,0.19419782136081248,0.034850034582568606,-0.02562167110984399,-0.07225635606167027,-0.23169560682157053,-0.0411525834087462,-0.12466882043068536,-0.011238075560595256,0.12614612936276465,0.06576224214566304
2019-03-29,0.1655577734095032,-0.09449291827569019,0.0012340142057287856,0.19015622822142034,-0.19664491427848993,-0.1471049116395262,-0.022715056633618422,-0.002601103024237304,0.13529081037112436,-0.12195490103998077,0.16347727779162044,0.0024051144032548972,,
2019-04-30,-0.1542127323158186,-0.03577953385416843,0.02896959611524251,0.11276077906351328,0.3613257644976797,0.14831272833055958,0.04627782702916949,0.16908810550204825,-0.27466396073267,0.11840800128803819,-0.44482231391267685,-0.2727808769461711,-0.04604635536483647,
2019-05-31,0.05763550145498043,0.10516508661977421,-0.06554933667942162,-0.023106435528034295,-0.17908869030654578,-0.12019317294073271,0.030736515681354517,-0.04293672055223079,0.12968986657045764,-0.04525859113352769,0.45993899827464607,0.17873268399648098,0.05157047648940166,
2019-06-28,0.029231400687714706,0.034133515353112126,0.05549539895175155,-0.06185781817197289,-0.030679765448040436,-0.08208381123989175,-0.07183312563747571,-0.1057478788331213,-0.06514240050365075,0.058338753465684866,0.07136448456577267,0.024406317829535316,,
2019-07-31,-0.21318898385271529,0.10366878010749832,0.06200338963432038,0.03108662408480033,0.3639780326674456,0.1088426053903133,-0.049621633048350766,0.10592637821551242,-0.23153542129684268,0.207911290715135,-0.39080060849702236,-0.24874316217615675,0.013128392462761323,
2019-08-30,0.3666142372564327,-0.19594322164442285,-0.17161953736448235,0.0066769477136200866,-0.4742050733965833,0.08116716195856785,-0.1173614089814275,-0.2378906276690885,0.1296326463418589,-0.2734259092214913,0.07816438266304025,0.05234065754416135,,
